platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
nuc,mapping,Point-LIO Mapping + Camera,0.0,15.800,10.490,4.320,0.990,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,1.0,17.020,12.760,3.380,0.880,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,2.0,9.650,6.000,2.740,0.910,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,3.0,13.640,10.730,2.270,0.630,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,4.0,12.150,8.480,2.780,0.890,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,5.0,13.470,9.910,2.800,0.760,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,6.0,12.710,8.390,3.560,0.760,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,7.0,16.190,11.790,3.760,0.630,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,8.0,17.320,12.900,3.690,0.740,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,9.0,23.100,16.920,5.830,0.350,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,10.0,18.490,13.620,4.500,0.360,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,11.0,21.710,15.980,5.610,0.120,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,12.0,15.990,11.590,4.160,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,13.0,17.770,12.940,4.700,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,14.0,26.300,19.360,6.580,0.370,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,15.0,14.890,11.760,2.880,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,16.0,15.530,11.990,3.410,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,17.0,12.020,8.530,3.230,0.260,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,18.0,17.000,12.740,3.880,0.380,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,19.0,13.410,9.960,3.320,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,20.0,14.760,10.780,3.720,0.260,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,21.0,15.520,11.390,4.010,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,22.0,14.210,10.470,3.490,0.260,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,23.0,14.140,10.480,3.540,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,24.0,15.900,12.220,3.440,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,25.0,14.070,10.650,3.170,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,26.0,14.650,10.670,3.730,0.260,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,27.0,15.880,12.660,2.980,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,28.0,13.240,9.000,4.240,0.000,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,29.0,16.310,12.260,3.790,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,30.0,13.720,10.290,3.180,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,31.0,15.580,11.620,3.830,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,32.0,15.160,11.160,3.630,0.380,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,33.0,18.500,14.920,3.450,0.120,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,34.0,13.420,9.680,3.610,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,35.0,19.560,15.280,3.910,0.370,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,36.0,14.140,10.540,3.470,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,37.0,16.860,12.540,4.060,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,38.0,17.180,12.530,4.520,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,39.0,21.640,16.420,5.100,0.120,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,40.0,20.540,14.720,5.320,0.500,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,41.0,21.650,16.600,4.800,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,42.0,19.070,15.150,3.910,0.000,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,43.0,19.600,15.390,4.090,0.120,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,44.0,17.830,13.900,3.670,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,45.0,19.370,14.090,5.030,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,46.0,20.050,15.410,4.510,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,47.0,16.650,12.450,4.190,0.000,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,48.0,16.310,12.230,3.570,0.510,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,49.0,15.720,12.200,3.270,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,50.0,15.190,11.460,3.730,0.000,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,51.0,16.750,12.880,3.750,0.120,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,52.0,16.960,12.880,3.700,0.380,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,53.0,15.790,12.410,3.130,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,54.0,17.570,14.160,3.410,0.000,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,55.0,12.900,9.160,3.480,0.260,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,56.0,16.160,12.470,3.560,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,57.0,13.460,10.260,3.080,0.130,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,58.0,13.140,9.460,3.420,0.260,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,59.0,15.080,12.310,2.510,0.250,nuc_mapping_total_cpu.txt
nuc,mapping,Point-LIO Mapping + Camera,60.0,15.950,12.400,3.290,0.250,nuc_mapping_total_cpu.txt
