platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
nuc,v2,Version 2,0.0,37.740,23.740,13.620,0.390,nuc_v2_total_cpu.txt
nuc,v2,Version 2,1.0,28.440,17.040,11.270,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,2.0,34.580,21.160,13.160,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,3.0,28.340,17.220,11.130,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,4.0,31.540,19.500,12.040,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,5.0,30.330,18.280,11.920,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,6.0,31.640,18.880,12.370,0.390,nuc_v2_total_cpu.txt
nuc,v2,Version 2,7.0,30.130,18.970,11.030,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,8.0,27.480,15.820,11.660,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,9.0,29.220,17.960,11.260,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,10.0,30.130,17.660,12.210,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,11.0,29.260,17.290,11.840,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,12.0,28.940,16.690,12.130,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,13.0,35.920,22.350,13.440,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,14.0,27.280,16.030,11.130,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,15.0,31.640,19.660,11.720,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,16.0,28.760,18.070,10.550,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,17.0,36.080,21.390,14.560,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,18.0,32.340,18.310,13.900,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,19.0,29.700,18.270,11.430,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,20.0,31.850,19.270,12.450,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,21.0,35.010,21.320,13.570,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,22.0,28.020,15.940,12.080,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,23.0,30.930,19.660,10.880,0.390,nuc_v2_total_cpu.txt
nuc,v2,Version 2,24.0,33.500,20.920,12.450,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,25.0,31.190,18.090,12.980,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,26.0,32.570,19.800,12.770,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,27.0,32.010,19.150,12.850,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,28.0,31.000,20.100,10.890,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,29.0,34.550,20.340,13.820,0.390,nuc_v2_total_cpu.txt
nuc,v2,Version 2,30.0,36.190,21.610,14.580,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,31.0,32.860,19.900,12.840,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,32.0,31.710,20.260,11.320,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,33.0,30.710,19.160,11.550,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,34.0,30.970,19.030,11.680,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,35.0,34.180,22.110,11.940,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,36.0,38.430,23.260,15.170,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,37.0,34.240,20.880,13.230,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,38.0,31.530,19.790,11.610,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,39.0,33.420,20.390,13.030,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,40.0,34.970,22.980,11.870,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,41.0,35.600,21.130,14.210,0.250,nuc_v2_total_cpu.txt
nuc,v2,Version 2,42.0,32.470,19.330,13.140,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,43.0,31.230,19.740,11.480,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,44.0,32.300,20.330,11.580,0.390,nuc_v2_total_cpu.txt
nuc,v2,Version 2,45.0,34.960,21.900,13.060,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,46.0,30.430,17.920,12.380,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,47.0,33.160,21.030,12.000,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,48.0,27.760,17.240,10.390,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,49.0,29.240,18.830,10.410,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,50.0,28.780,17.480,11.040,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,51.0,35.050,21.910,13.020,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,52.0,33.860,20.920,12.940,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,53.0,34.030,20.990,13.040,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,54.0,29.920,19.290,10.500,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,55.0,30.380,19.150,11.100,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,56.0,33.850,21.270,12.320,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,57.0,35.270,21.530,13.740,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,58.0,33.720,20.880,12.580,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,59.0,36.200,22.850,13.210,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,60.0,29.270,17.880,11.130,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,61.0,32.860,21.180,11.300,0.390,nuc_v2_total_cpu.txt
nuc,v2,Version 2,62.0,32.850,20.660,12.190,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,63.0,31.920,19.870,12.050,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,64.0,39.580,23.960,15.360,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,65.0,33.940,21.030,12.900,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,66.0,35.140,22.220,12.920,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,67.0,29.930,18.520,11.410,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,68.0,32.630,20.740,11.760,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,69.0,33.380,21.550,11.700,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,70.0,34.970,23.320,11.530,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,71.0,35.410,23.690,11.590,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,72.0,36.120,23.070,12.550,0.510,nuc_v2_total_cpu.txt
nuc,v2,Version 2,73.0,35.120,21.890,13.110,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,74.0,35.220,22.030,13.190,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,75.0,31.330,19.410,11.780,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,76.0,35.010,22.520,12.480,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,77.0,33.760,22.460,11.170,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,78.0,32.200,20.940,10.990,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,79.0,33.070,20.130,12.800,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,80.0,34.900,22.290,12.610,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,81.0,35.020,22.310,12.580,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,82.0,30.910,19.020,11.890,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,83.0,34.660,22.160,12.500,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,84.0,32.150,20.030,11.860,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,85.0,34.830,22.880,11.950,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,86.0,29.050,17.900,11.010,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,87.0,34.250,22.350,11.900,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,88.0,32.060,19.660,12.140,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,89.0,36.490,24.710,11.650,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,90.0,35.460,22.560,12.780,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,91.0,35.770,22.580,12.920,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,92.0,31.260,19.070,11.920,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,93.0,34.740,22.060,12.680,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,94.0,32.410,20.950,11.460,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,95.0,34.580,21.940,12.650,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,96.0,33.550,21.360,12.190,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,97.0,31.900,20.440,11.200,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,98.0,32.670,20.720,11.820,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,99.0,33.510,20.860,12.390,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,100.0,34.240,20.700,13.280,0.260,nuc_v2_total_cpu.txt
nuc,v2,Version 2,101.0,29.830,18.810,11.020,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,102.0,30.880,19.970,10.910,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,103.0,33.160,21.250,11.780,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,104.0,32.430,21.400,11.020,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,105.0,30.460,18.680,11.660,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,106.0,32.770,21.720,11.050,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,107.0,33.990,20.600,13.390,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,108.0,32.010,20.320,11.420,0.270,nuc_v2_total_cpu.txt
nuc,v2,Version 2,109.0,30.740,20.030,10.330,0.380,nuc_v2_total_cpu.txt
nuc,v2,Version 2,110.0,29.590,18.730,10.850,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,111.0,24.040,15.590,8.450,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,112.0,30.890,19.690,11.200,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,113.0,29.150,19.220,9.930,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,114.0,29.120,19.200,9.920,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,115.0,28.310,18.350,9.960,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,116.0,28.430,17.670,10.630,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,117.0,28.400,18.420,9.990,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,118.0,23.550,14.080,9.340,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,119.0,31.070,19.900,11.040,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,120.0,30.600,18.880,11.590,0.130,nuc_v2_total_cpu.txt
nuc,v2,Version 2,121.0,29.650,18.860,10.790,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,122.0,26.360,16.380,9.720,0.270,nuc_v2_total_cpu.txt
nuc,v2,Version 2,123.0,29.610,18.680,10.920,0.000,nuc_v2_total_cpu.txt
nuc,v2,Version 2,124.0,30.010,18.480,11.530,0.000,nuc_v2_total_cpu.txt
