platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
pi5,mapping,Point-LIO Mapping + Camera,0.0,41.430,30.690,10.740,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,1.0,26.670,18.210,7.440,1.030,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,2.0,10.540,5.660,4.880,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,3.0,42.030,30.630,11.390,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,4.0,32.410,23.870,8.540,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,5.0,17.420,10.860,6.570,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,6.0,17.340,10.050,7.040,0.250,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,7.0,36.360,25.000,11.360,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,8.0,34.010,25.380,8.630,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,9.0,10.260,4.870,5.380,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,10.0,31.360,19.260,12.100,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,11.0,44.440,31.820,12.370,0.250,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,12.0,9.920,4.700,5.220,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,13.0,19.690,12.440,7.250,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,14.0,35.220,23.650,11.570,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,15.0,26.740,19.540,7.200,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,16.0,20.670,8.790,6.980,4.910,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,17.0,23.790,15.090,8.700,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,18.0,51.030,39.430,11.600,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,19.0,11.520,6.280,5.240,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,20.0,18.810,11.860,6.960,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,21.0,43.300,32.730,10.570,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,22.0,26.600,18.160,6.650,1.790,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,23.0,23.660,16.030,7.630,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,24.0,25.000,16.920,8.080,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,25.0,41.710,31.160,10.550,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,26.0,17.650,11.760,5.880,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,27.0,11.700,5.850,5.600,0.250,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,28.0,50.630,36.960,13.670,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,29.0,26.600,16.010,10.590,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,30.0,19.250,9.500,9.750,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,31.0,27.390,17.830,9.560,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,32.0,37.560,24.610,8.810,4.150,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,33.0,21.590,13.110,8.230,0.260,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,34.0,10.820,4.900,5.930,0.000,pi5_mapping_total_cpu.txt
pi5,mapping,Point-LIO Mapping + Camera,35.0,42.490,30.310,12.180,0.000,pi5_mapping_total_cpu.txt
