platform,run_key,run_label,elapsed_sec,cpu_active_percent,cpu_user_percent,cpu_system_percent,cpu_iowait_percent,source_file
pi5,v3,Version 3,0.0,23.980,16.840,7.140,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,1.0,16.620,10.580,6.050,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,2.0,9.920,4.330,5.600,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,3.0,42.350,31.890,10.200,0.260,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,4.0,13.520,8.160,5.360,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,5.0,7.110,2.790,4.310,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,6.0,33.680,21.590,10.030,2.060,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,7.0,24.680,17.810,6.620,0.250,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,8.0,15.640,10.000,5.640,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,9.0,8.740,3.860,4.370,0.510,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,10.0,31.200,22.760,8.440,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,11.0,18.770,13.110,5.660,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,12.0,7.630,2.040,5.600,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,13.0,39.140,28.030,11.110,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,14.0,20.970,14.830,6.140,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,15.0,7.360,2.280,5.080,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,16.0,28.350,19.490,8.860,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,17.0,30.790,19.590,7.380,3.820,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,18.0,16.830,10.300,6.530,0.000,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,19.0,11.360,4.800,6.310,0.250,pi5_v3_ total_cpu.txt
pi5,v3,Version 3,20.0,33.080,23.810,9.270,0.000,pi5_v3_ total_cpu.txt
