Linux 6.8.0-111-generic (intel-nuc) 	05/18/2026 	_x86_64_	(8 CPU)

11:07:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:07:10 PM     all      7.53      2.96      4.32      0.99      0.00     84.20
11:07:11 PM     all      9.51      3.25      3.38      0.88      0.00     82.98
11:07:12 PM     all      3.26      2.74      2.74      0.91      0.00     90.35
11:07:13 PM     all      7.32      3.41      2.27      0.63      0.00     86.36
11:07:14 PM     all      5.32      3.16      2.78      0.89      0.00     87.85
11:07:15 PM     all      6.48      3.43      2.80      0.76      0.00     86.53
11:07:16 PM     all      4.83      3.56      3.56      0.76      0.00     87.29
11:07:17 PM     all      8.53      3.26      3.76      0.63      0.00     83.81
11:07:18 PM     all      8.97      3.93      3.69      0.74      0.00     82.68
11:07:19 PM     all     11.79      5.13      5.83      0.35      0.00     76.90
11:07:20 PM     all      8.27      5.35      4.50      0.36      0.00     81.51
11:07:21 PM     all     10.37      5.61      5.61      0.12      0.00     78.29
11:07:22 PM     all      7.81      3.78      4.16      0.25      0.00     84.01
11:07:23 PM     all      7.74      5.20      4.70      0.13      0.00     82.23
11:07:24 PM     all     12.66      6.70      6.58      0.37      0.00     73.70
11:07:25 PM     all      7.88      3.88      2.88      0.25      0.00     85.11
11:07:26 PM     all      8.33      3.66      3.41      0.13      0.00     84.47
11:07:27 PM     all      4.65      3.88      3.23      0.26      0.00     87.98
11:07:28 PM     all      8.62      4.12      3.88      0.38      0.00     83.00
11:07:29 PM     all      6.26      3.70      3.32      0.13      0.00     86.59
11:07:30 PM     all      7.19      3.59      3.72      0.26      0.00     85.24
11:07:31 PM     all      7.51      3.88      4.01      0.13      0.00     84.48
11:07:32 PM     all      6.46      4.01      3.49      0.26      0.00     85.79
11:07:33 PM     all      6.94      3.54      3.54      0.13      0.00     85.86
11:07:34 PM     all      8.02      4.20      3.44      0.25      0.00     84.10
11:07:35 PM     all      6.72      3.93      3.17      0.25      0.00     85.93
11:07:36 PM     all      6.43      4.24      3.73      0.26      0.00     85.35
11:07:37 PM     all      8.81      3.85      2.98      0.25      0.00     84.12
11:07:38 PM     all      5.27      3.73      4.24      0.00      0.00     86.76
11:07:39 PM     all      8.09      4.17      3.79      0.25      0.00     83.69
11:07:40 PM     all      6.48      3.81      3.18      0.25      0.00     86.28
11:07:41 PM     all      7.28      4.34      3.83      0.13      0.00     84.42
11:07:42 PM     all      7.02      4.14      3.63      0.38      0.00     84.84
11:07:43 PM     all     10.73      4.19      3.45      0.12      0.00     81.50
11:07:44 PM     all      5.16      4.52      3.61      0.13      0.00     86.58
11:07:45 PM     all     11.12      4.16      3.91      0.37      0.00     80.44
11:07:46 PM     all      6.04      4.50      3.47      0.13      0.00     85.86
11:07:47 PM     all      7.98      4.56      4.06      0.25      0.00     83.14
11:07:48 PM     all      5.94      6.59      4.52      0.13      0.00     82.82
11:07:49 PM     all      9.45      6.97      5.10      0.12      0.00     78.36
11:07:50 PM     all      7.67      7.05      5.32      0.50      0.00     79.46
11:07:51 PM     all      9.47      7.13      4.80      0.25      0.00     78.35
11:07:52 PM     all      7.20      7.95      3.91      0.00      0.00     80.93
11:07:53 PM     all      9.31      6.08      4.09      0.12      0.00     80.40
11:07:54 PM     all      7.33      6.57      3.67      0.25      0.00     82.17
11:07:55 PM     all      7.55      6.54      5.03      0.25      0.00     80.63
11:07:56 PM     all     10.15      5.26      4.51      0.13      0.00     79.95
11:07:57 PM     all      6.35      6.10      4.19      0.00      0.00     83.35
11:07:58 PM     all      7.39      4.84      3.57      0.51      0.00     83.69
11:07:59 PM     all      7.04      5.16      3.27      0.25      0.00     84.28
11:08:00 PM     all      6.44      5.02      3.73      0.00      0.00     84.81
11:08:01 PM     all      7.88      5.00      3.75      0.12      0.00     83.25
11:08:02 PM     all      7.78      5.10      3.70      0.38      0.00     83.04
11:08:03 PM     all      7.77      4.64      3.13      0.25      0.00     84.21
11:08:04 PM     all      9.10      5.06      3.41      0.00      0.00     82.43
11:08:05 PM     all      3.74      5.42      3.48      0.26      0.00     87.10
11:08:06 PM     all      7.76      4.71      3.56      0.13      0.00     83.84
11:08:07 PM     all      5.13      5.13      3.08      0.13      0.00     86.54
11:08:08 PM     all      4.60      4.86      3.42      0.26      0.00     86.86
11:08:09 PM     all      7.54      4.77      2.51      0.25      0.00     84.92
11:08:10 PM     all      7.59      4.81      3.29      0.25      0.00     84.05
11:08:11 PM     all      4.65      5.03      2.97      0.13      0.00     87.23
11:08:12 PM     all      6.51      4.60      3.07      0.13      0.00     85.70
11:08:13 PM     all      6.59      5.07      4.06      0.13      0.00     84.16
11:08:14 PM     all      6.11      4.71      2.93      0.25      0.00     85.99
11:08:15 PM     all      9.43      5.09      3.47      0.12      0.00     81.89
11:08:16 PM     all      6.42      4.91      3.14      0.38      0.00     85.16
11:08:17 PM     all      7.84      4.93      3.29      0.13      0.00     83.82
11:08:18 PM     all      5.49      5.36      3.32      0.13      0.00     85.70
11:08:19 PM     all      9.14      5.01      3.00      0.13      0.00     82.73
11:08:20 PM     all      3.51      5.46      3.25      0.13      0.00     87.65
11:08:21 PM     all      7.42      5.50      3.07      0.13      0.00     83.89
11:08:22 PM     all      5.59      5.08      3.56      0.38      0.00     85.39
11:08:23 PM     all      5.20      5.59      3.38      0.26      0.00     85.57
11:08:24 PM     all      6.27      5.40      3.51      0.13      0.00     84.69
11:08:25 PM     all      7.23      5.46      3.43      0.25      0.00     83.63
11:08:26 PM     all      6.96      5.19      2.41      0.13      0.00     85.32
11:08:27 PM     all      7.95      5.43      3.41      0.13      0.00     83.08
11:08:28 PM     all      6.31      5.67      3.66      0.13      0.00     84.24
11:08:29 PM     all      4.56      5.35      3.00      0.26      0.00     86.83
11:08:30 PM     all      6.03      5.78      3.72      0.13      0.00     84.34
11:08:31 PM     all      8.79      5.40      3.27      0.25      0.00     82.29
11:08:32 PM     all      7.68      5.67      3.53      0.25      0.00     82.87
11:08:33 PM     all      4.28      5.71      3.24      0.13      0.00     86.64
11:08:34 PM     all      7.11      5.58      3.68      0.38      0.00     83.25
11:08:35 PM     all      7.51      5.51      2.75      0.13      0.00     84.11
11:08:36 PM     all      4.84      5.88      3.27      0.13      0.00     85.88
11:08:37 PM     all      7.30      5.45      4.33      0.12      0.00     82.80
11:08:38 PM     all      7.31      5.77      2.69      0.00      0.00     84.23
11:08:39 PM     all      3.37      6.22      3.63      0.39      0.00     86.40
11:08:40 PM     all      8.54      5.65      3.64      0.00      0.00     82.16
11:08:41 PM     all      4.99      6.02      3.59      0.13      0.00     85.28
11:08:42 PM     all      7.38      5.60      3.69      0.38      0.00     82.95
11:08:43 PM     all      7.12      6.12      3.50      0.25      0.00     83.02
11:08:44 PM     all      8.70      6.31      3.15      0.13      0.00     81.72
11:08:45 PM     all      6.27      6.27      2.82      0.13      0.00     84.51
11:08:46 PM     all      6.16      6.03      4.11      0.26      0.00     83.44
11:08:47 PM     all      8.21      6.57      3.28      0.13      0.00     81.82
11:08:48 PM     all      5.31      5.70      3.50      0.13      0.00     85.36
11:08:49 PM     all      6.77      6.77      4.34      0.26      0.00     81.86
11:08:50 PM     all      5.89      6.53      3.46      0.13      0.00     83.99
11:08:51 PM     all      9.68      6.70      4.71      0.12      0.00     78.78
11:08:52 PM     all      6.27      6.01      3.45      0.13      0.00     84.14
11:08:53 PM     all      8.93      6.29      4.15      0.13      0.00     80.50
11:08:54 PM     all      8.49      6.49      3.12      0.25      0.00     81.65
11:08:55 PM     all      8.21      6.31      4.42      0.38      0.00     80.68
11:08:56 PM     all      4.55      6.88      3.64      0.00      0.00     84.94
11:08:57 PM     all      5.67      6.44      4.77      0.13      0.00     82.99
11:08:58 PM     all      3.90      6.63      3.25      0.13      0.00     86.09
11:08:59 PM     all      8.59      6.44      3.28      0.25      0.00     81.44
11:09:00 PM     all      5.37      6.39      3.58      0.26      0.00     84.40
11:09:01 PM     all      6.47      6.47      4.14      0.00      0.00     82.92
11:09:02 PM     all      6.45      7.21      3.79      0.25      0.00     82.30
11:09:03 PM     all      5.97      6.88      3.38      0.13      0.00     83.64
11:09:04 PM     all      6.79      6.66      4.23      0.13      0.00     82.20
11:09:05 PM     all      6.22      7.11      3.30      0.25      0.00     83.12
11:09:06 PM     all      8.73      7.09      3.42      0.00      0.00     80.76
11:09:07 PM     all      6.04      7.33      3.73      0.00      0.00     82.90
11:09:08 PM     all      9.57      7.45      4.10      0.37      0.00     78.51
11:09:09 PM     all      9.22      6.85      4.36      0.00      0.00     79.58
11:09:10 PM     all      7.46      6.95      3.60      0.13      0.00     81.85
11:09:11 PM     all      7.86      6.86      3.12      0.25      0.00     81.92
11:09:12 PM     all      7.36      7.11      4.44      0.13      0.00     80.96
11:09:13 PM     all      6.41      7.31      3.21      0.13      0.00     82.95
11:09:14 PM     all      5.70      7.38      4.53      0.13      0.00     82.25
11:09:15 PM     all      5.83      7.12      3.11      0.13      0.00     83.81
11:09:16 PM     all      7.22      7.86      4.31      0.25      0.00     80.35
11:09:17 PM     all      8.04      7.29      3.14      0.25      0.00     81.28
11:09:18 PM     all      7.59      7.46      3.99      0.13      0.00     80.82
11:09:19 PM     all      7.57      7.57      3.91      0.13      0.00     80.83
11:09:20 PM     all      8.44      7.68      3.78      0.25      0.00     79.85
11:09:21 PM     all      7.93      7.56      4.03      0.38      0.00     80.10
11:09:22 PM     all      6.41      7.82      3.85      0.00      0.00     81.92
11:09:23 PM     all      8.42      8.04      4.21      0.26      0.00     79.08
11:09:24 PM     all      5.54      8.12      3.09      0.00      0.00     83.25
11:09:25 PM     all      8.61      8.10      4.18      0.25      0.00     78.86
11:09:26 PM     all      5.31      8.03      3.50      0.00      0.00     83.16
11:09:27 PM     all      8.48      8.23      3.67      0.25      0.00     79.37
11:09:28 PM     all      5.05      7.76      4.01      0.26      0.00     82.92
11:09:29 PM     all      7.58      8.48      3.73      0.00      0.00     80.21
11:09:30 PM     all      7.48      7.98      3.80      0.25      0.00     80.48
11:09:31 PM     all      5.75      8.37      4.18      0.00      0.00     81.70
11:09:32 PM     all      8.85      8.10      3.87      0.12      0.00     79.05
11:09:33 PM     all      7.19      8.47      3.98      0.26      0.00     80.10
11:09:34 PM     all      7.61      8.88      3.68      0.13      0.00     79.70
11:09:35 PM     all      6.68      8.87      4.24      0.26      0.00     79.95
11:09:36 PM     all      5.55      8.00      3.87      0.13      0.00     82.45
11:09:37 PM     all      7.75      8.01      3.94      0.25      0.00     80.05
11:09:38 PM     all      8.62      9.00      3.55      0.13      0.00     78.71
11:09:39 PM     all      6.95      9.61      4.17      0.00      0.00     79.27
11:09:40 PM     all      8.18      9.08      3.84      0.00      0.00     78.90
11:09:41 PM     all      4.55      8.97      3.77      0.26      0.00     82.44
11:09:42 PM     all      8.52      9.03      3.94      0.00      0.00     78.50
11:09:43 PM     all      7.10      9.00      4.06      0.25      0.00     79.59
11:09:44 PM     all      6.68      9.83      3.67      0.39      0.00     79.42
11:09:45 PM     all      5.96      9.20      4.02      0.00      0.00     80.83
11:09:46 PM     all      7.48      9.94      4.52      0.00      0.00     78.06
11:09:47 PM     all      7.07      9.90      3.21      0.26      0.00     79.56
11:09:48 PM     all      7.60     10.31      4.64      0.13      0.00     77.32
11:09:49 PM     all      5.79     10.04      3.73      0.13      0.00     80.31
11:09:50 PM     all      9.85     10.48      4.42      0.13      0.00     75.13
11:09:51 PM     all      6.66     11.14      3.71      0.00      0.00     78.49
11:09:52 PM     all      7.92     11.24      4.98      0.26      0.00     75.61
11:09:53 PM     all      9.98     11.60      4.36      0.00      0.00     74.06
11:09:54 PM     all      7.21     11.25      3.54      0.25      0.00     77.75
11:09:55 PM     all      6.74      9.84      4.02      0.13      0.00     79.27
11:09:56 PM     all      6.70      9.36      3.03      0.25      0.00     80.66
11:09:57 PM     all      8.70      9.33      4.16      0.13      0.00     77.68
11:09:58 PM     all      6.03      9.36      2.95      0.38      0.00     81.28
11:09:59 PM     all      8.89      8.89      3.43      0.13      0.00     78.65
11:10:00 PM     all      6.46      9.11      3.16      0.00      0.00     81.27
11:10:01 PM     all      8.27      8.91      2.93      0.38      0.00     79.52
11:10:02 PM     all      7.70      9.22      3.16      0.00      0.00     79.92
11:10:03 PM     all      6.95     10.04      3.99      0.13      0.00     78.89
11:10:04 PM     all      5.50      9.46      3.45      0.26      0.00     81.33
11:10:05 PM     all      8.30      9.71      3.58      0.00      0.00     78.42
11:10:06 PM     all      7.30     10.50      3.20      0.13      0.00     78.87
11:10:07 PM     all      7.32     11.30      3.98      0.51      0.00     76.89
11:10:08 PM     all      6.35     10.29      3.05      0.13      0.00     80.18
11:10:09 PM     all      8.96     10.82      3.61      0.12      0.00     76.49
11:10:10 PM     all     10.12      9.63      4.32      0.12      0.00     75.80
11:10:11 PM     all      7.68     10.37      3.07      0.00      0.00     78.87
11:10:12 PM     all      7.17     10.24      4.23      0.13      0.00     78.23
11:10:13 PM     all      7.19      9.71      3.40      0.25      0.00     79.45
11:10:14 PM     all      7.31     10.00      3.59      0.51      0.00     78.59
11:10:15 PM     all     10.61      9.63      3.29      0.00      0.00     76.46
11:10:16 PM     all      8.49      9.76      3.93      0.00      0.00     77.82
11:10:17 PM     all      6.98     10.28      3.55      0.00      0.00     79.19
11:10:18 PM     all      7.66     10.47      3.70      0.26      0.00     77.91
11:10:19 PM     all      6.22     10.53      4.19      0.13      0.00     78.93
11:10:20 PM     all      5.77     10.89      3.81      0.26      0.00     79.27
11:10:21 PM     all      8.69     11.96      3.53      0.25      0.00     75.57
11:10:22 PM     all      7.35     12.65      4.52      0.26      0.00     75.23
11:10:23 PM     all      7.21     12.01      4.30      0.13      0.00     76.36
11:10:24 PM     all      8.32     10.63      3.46      0.13      0.00     77.46
11:10:25 PM     all      4.77     11.35      4.00      0.26      0.00     79.61
11:10:26 PM     all      5.24     10.60      3.01      0.13      0.00     81.02
11:10:27 PM     all      6.18     12.11      3.95      0.13      0.00     77.63
11:10:28 PM     all      6.67     11.28      3.33      0.00      0.00     78.72
11:10:29 PM     all      7.56     12.44      3.85      0.26      0.00     75.90
11:10:30 PM     all      6.20     12.92      3.23      0.13      0.00     77.52
11:10:31 PM     all      8.14     12.34      4.07      0.25      0.00     75.19
11:10:32 PM     all      5.67     11.73      2.45      0.39      0.00     79.77
11:10:33 PM     all      5.59      9.75      2.60      0.00      0.00     82.05
11:10:34 PM     all      7.19     10.97      2.77      0.13      0.00     78.94
11:10:35 PM     all      8.37     11.53      3.68      0.13      0.00     76.30
11:10:36 PM     all      7.45     10.86      2.65      0.25      0.00     78.79
11:10:37 PM     all      8.16     12.88      3.83      0.26      0.00     74.87
11:10:38 PM     all      6.65     12.92      2.81      0.13      0.00     77.49
11:10:39 PM     all      7.45     12.71      3.59      0.13      0.00     76.12
11:10:40 PM     all      6.56     13.26      2.57      0.39      0.00     77.22
11:10:41 PM     all      7.81     12.93      3.71      0.13      0.00     75.42
11:10:42 PM     all      5.71     14.01      3.11      0.00      0.00     77.17
11:10:43 PM     all      6.06     13.68      2.71      0.39      0.00     77.16
11:10:44 PM     all      7.81     14.58      3.78      0.13      0.00     73.70
11:10:45 PM     all      5.66     12.72      3.60      0.26      0.00     77.76
11:10:46 PM     all      6.61     13.47      3.11      0.26      0.00     76.55
11:10:47 PM     all      6.42     12.32      2.95      0.13      0.00     78.18
11:10:48 PM     all      8.16     12.37      2.93      0.26      0.00     76.28
11:10:49 PM     all      7.55     14.34      2.56      0.13      0.00     75.42
11:10:50 PM     all      9.86     13.27      3.16      0.13      0.00     73.58
11:10:51 PM     all      4.97     11.90      3.14      0.13      0.00     79.87
11:10:52 PM     all      7.43     13.44      3.33      0.26      0.00     75.54
11:10:53 PM     all      4.95     11.85      2.60      0.26      0.00     80.34
11:10:54 PM     all     10.31     11.43      3.48      0.12      0.00     74.66
11:10:55 PM     all      5.08     13.17      2.35      0.39      0.00     79.01
11:10:56 PM     all      7.15     12.61      3.12      0.00      0.00     77.11
11:10:57 PM     all      8.21     13.38      3.54      0.13      0.00     74.75
11:10:58 PM     all      6.16      9.76      3.21      0.26      0.00     80.62
11:10:59 PM     all      6.21      6.86      3.10      0.00      0.00     83.83
11:11:00 PM     all      8.14      6.63      2.63      0.00      0.00     82.60
11:11:01 PM     all      7.28      6.00      3.07      0.26      0.00     83.40
11:11:02 PM     all      7.78     10.84      2.55      0.26      0.00     78.57
11:11:03 PM     all      9.84      8.70      3.40      0.25      0.00     77.81
11:11:04 PM     all      6.81     11.31      3.73      0.26      0.00     77.89
11:11:05 PM     all      9.39      7.63      3.00      0.13      0.00     79.85
11:11:06 PM     all      4.61      9.87      2.50      0.26      0.00     82.76
11:11:07 PM     all      7.30     10.17      3.13      0.13      0.00     79.27
11:11:08 PM     all      5.79      8.62      2.57      0.39      0.00     82.63
11:11:09 PM     all      7.86     11.73      2.58      0.00      0.00     77.84
11:11:10 PM     all      6.54      9.62      3.08      0.00      0.00     80.77
11:11:11 PM     all      7.32      7.95      3.66      0.13      0.00     80.93
11:11:12 PM     all      4.93      8.43      2.85      0.00      0.00     83.79
11:11:13 PM     all      9.03      8.42      3.71      0.25      0.00     78.59
11:11:14 PM     all      6.69      8.59      3.28      0.25      0.00     81.19
11:11:15 PM     all      7.09     12.50      3.87      0.13      0.00     76.42
11:11:16 PM     all      8.40     11.70      3.31      0.13      0.00     76.46
11:11:17 PM     all      6.27     10.61      2.94      0.26      0.00     79.92
11:11:18 PM     all      8.25      9.26      3.30      0.25      0.00     78.93
11:11:19 PM     all      6.58      9.55      2.97      0.39      0.00     80.52
11:11:20 PM     all      7.69     11.15      3.33      0.00      0.00     77.82
11:11:21 PM     all      5.05      7.12      2.59      0.00      0.00     85.23
