Linux 6.8.0-111-generic (intel-nuc) 	05/18/2026 	_x86_64_	(8 CPU)

09:58:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:58:18 PM     all      1.13      0.00      0.00      0.13      0.00     98.74
09:58:19 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
09:58:20 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
09:58:21 PM     all      0.62      0.00      0.25      0.00      0.00     99.12
09:58:22 PM     all      0.13      0.00      0.13      0.13      0.00     99.62
09:58:23 PM     all      1.00      0.00      0.50      0.00      0.00     98.50
09:58:24 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
09:58:25 PM     all      1.00      0.00      0.25      0.13      0.00     98.62
09:58:26 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
09:58:27 PM     all      1.00      0.00      0.38      0.00      0.00     98.62
09:58:28 PM     all      0.00      0.00      0.12      0.25      0.00     99.62
09:58:29 PM     all      1.00      0.00      0.13      0.00      0.00     98.87
09:58:30 PM     all      0.13      0.00      0.25      0.00      0.00     99.62
09:58:31 PM     all      1.00      0.00      0.37      0.12      0.00     98.50
09:58:32 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
09:58:33 PM     all      1.12      0.00      0.25      0.00      0.00     98.63
09:58:34 PM     all      0.00      0.00      0.25      0.13      0.00     99.62
09:58:35 PM     all      1.12      0.00      0.12      0.12      0.00     98.62
09:58:36 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
09:58:37 PM     all      1.00      0.00      0.50      0.12      0.00     98.38
09:58:38 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
09:58:39 PM     all      1.13      0.00      0.25      0.13      0.00     98.50
09:58:40 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
09:58:41 PM     all      1.00      0.00      0.38      0.25      0.00     98.37
09:58:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:58:43 PM     all      0.88      0.00      0.13      0.00      0.00     98.99
09:58:44 PM     all      0.25      0.00      0.12      0.12      0.00     99.50
09:58:45 PM     all      0.25      0.00      0.12      0.00      0.00     99.62
09:58:46 PM     all      1.12      0.00      0.12      0.12      0.00     98.62
09:58:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:58:48 PM     all      1.12      0.00      0.37      0.00      0.00     98.50
09:58:49 PM     all      0.00      0.00      0.13      0.13      0.00     99.75
09:58:50 PM     all      1.00      0.00      0.38      0.00      0.00     98.62
09:58:51 PM     all      0.12      0.00      0.00      0.12      0.00     99.75
09:58:52 PM     all      0.88      0.00      0.38      0.00      0.00     98.75
09:58:53 PM     all      0.12      0.00      0.12      0.00      0.00     99.75
09:58:54 PM     all      1.13      0.00      0.25      0.13      0.00     98.50
09:58:55 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
09:58:56 PM     all      0.88      0.00      0.13      0.13      0.00     98.87
09:58:57 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:58:58 PM     all      1.12      0.00      0.25      0.12      0.00     98.50
09:58:59 PM     all      0.12      0.00      0.12      0.12      0.00     99.63
09:59:00 PM     all      1.25      0.00      0.25      0.12      0.00     98.38
09:59:01 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:59:02 PM     all      0.88      0.00      0.13      0.00      0.00     99.00
09:59:03 PM     all      0.00      0.00      0.13      0.13      0.00     99.75
09:59:04 PM     all      1.38      0.00      0.25      0.00      0.00     98.38
09:59:05 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:59:06 PM     all      1.00      0.00      0.25      0.12      0.00     98.63
09:59:07 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
09:59:08 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
09:59:09 PM     all      1.00      0.00      0.25      0.12      0.00     98.62
09:59:10 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
09:59:11 PM     all      1.00      0.00      0.25      0.25      0.00     98.50
