Linux 6.8.0-111-generic (intel-nuc) 	05/18/2026 	_x86_64_	(8 CPU)

10:43:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:43:59 PM     all     18.33      0.00     12.48      0.53      0.00     68.66
10:44:00 PM     all     23.08      0.00     12.52      0.52      0.00     63.89
10:44:01 PM     all     20.03      0.00     12.22      0.52      0.00     67.23
10:44:02 PM     all     20.13      0.00     12.81      0.78      0.00     66.27
10:44:03 PM     all     20.76      0.00     13.14      0.39      0.00     65.70
10:44:04 PM     all     22.42      0.00     14.43      0.52      0.00     62.63
10:44:05 PM     all     19.49      0.00     13.21      0.77      0.00     66.54
10:44:06 PM     all     20.60      0.00     13.17      0.13      0.00     66.10
10:44:07 PM     all     18.32      0.00     12.52      0.52      0.00     68.65
10:44:08 PM     all     19.16      0.00     12.34      0.52      0.00     67.98
10:44:09 PM     all     18.68      0.00     12.84      0.78      0.00     67.70
10:44:10 PM     all     18.16      0.00     12.24      0.26      0.00     69.34
10:44:11 PM     all     20.24      0.00     11.70      0.66      0.00     67.41
10:44:12 PM     all     19.11      0.00     12.30      0.26      0.00     68.32
10:44:13 PM     all     21.74      0.00     11.76      0.63      0.00     65.87
10:44:14 PM     all     19.19      0.00     11.88      0.52      0.00     68.41
10:44:15 PM     all     21.75      0.00     14.19      0.40      0.00     63.66
10:44:16 PM     all     19.56      0.00     12.65      0.65      0.00     67.14
10:44:17 PM     all     21.11      0.00     12.18      0.39      0.00     66.32
10:44:18 PM     all     19.02      0.00     13.58      0.52      0.00     66.88
10:44:19 PM     all     21.01      0.00     12.19      0.65      0.00     66.15
10:44:20 PM     all     21.67      0.00     11.67      0.51      0.00     66.15
10:44:21 PM     all     22.29      0.00     12.48      0.38      0.00     64.84
10:44:22 PM     all     18.62      0.00     11.85      0.65      0.00     68.88
10:44:23 PM     all     19.28      0.00     11.97      0.53      0.00     68.22
10:44:24 PM     all     18.87      0.00     12.14      0.40      0.00     68.60
10:44:25 PM     all     21.85      0.00     13.51      0.66      0.00     63.97
10:44:26 PM     all     19.34      0.00     13.25      0.66      0.00     66.75
10:44:27 PM     all     22.83      0.00     12.32      0.39      0.00     64.46
10:44:28 PM     all     20.40      0.00     13.38      0.13      0.00     66.09
10:44:29 PM     all     18.06      0.00     11.95      0.13      0.00     69.85
10:44:30 PM     all     17.87      0.00     12.27      0.40      0.00     69.47
10:44:31 PM     all     19.81      0.00     13.30      0.00      0.00     66.89
10:44:32 PM     all     20.83      0.00     13.54      0.13      0.00     65.49
10:44:33 PM     all     20.74      0.00     12.93      0.38      0.00     65.94
10:44:34 PM     all     20.44      0.00     11.90      0.26      0.00     67.40
10:44:35 PM     all     19.79      0.00     11.33      0.13      0.00     68.75
10:44:36 PM     all     19.50      0.00     12.04      0.39      0.00     68.06
10:44:37 PM     all     20.18      0.00     11.70      0.26      0.00     67.87
10:44:38 PM     all     20.28      0.00     12.53      0.13      0.00     67.05
10:44:39 PM     all     18.88      0.00     12.24      0.00      0.00     68.88
10:44:40 PM     all     20.18      0.00     14.19      0.39      0.00     65.23
10:44:41 PM     all     18.80      0.00     11.62      0.26      0.00     69.32
10:44:42 PM     all     21.70      0.00     11.80      0.13      0.00     66.37
10:44:43 PM     all     21.66      0.00     14.53      0.26      0.00     63.55
10:44:44 PM     all     20.56      0.00     13.98      0.13      0.00     65.32
10:44:45 PM     all     21.38      0.00     14.08      0.39      0.00     64.15
10:44:46 PM     all     18.96      0.00     12.08      0.13      0.00     68.83
10:44:47 PM     all     22.83      0.00     13.65      0.13      0.00     63.39
10:44:48 PM     all     19.79      0.00     12.98      0.00      0.00     67.23
10:44:49 PM     all     21.58      0.00     12.76      0.39      0.00     65.26
10:44:50 PM     all     18.89      0.00     12.81      0.40      0.00     67.90
10:44:51 PM     all     20.13      0.00     12.99      0.26      0.00     66.62
