pi5_total_cpu_v2
                                                                                           
Linux 6.8.0-1048-raspi (pi-desktop)     05/18/2026      _aarch64_       (4 CPU)

10:51:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:51:38 PM     all      3.26      0.00      4.76      0.00      0.00     91.98
10:51:39 PM     all     30.89      0.00      9.87      0.00      0.00     59.24
10:51:40 PM     all     12.53      0.00      6.27      0.00      0.00     81.20
10:51:41 PM     all      5.87      0.00      4.08      0.00      0.00     90.05
10:51:42 PM     all     15.25      0.00      7.75      0.00      0.00     77.00
10:51:43 PM     all     21.77      0.00      6.58      0.00      0.00     71.65
10:51:44 PM     all      9.62      0.00      5.82      0.00      0.00     84.56
10:51:45 PM     all      1.79      0.00      3.84      4.35      0.00     90.03
10:51:46 PM     all     23.16      0.00      9.41      0.00      0.00     67.43
10:51:47 PM     all     18.62      0.00      5.87      0.00      0.00     75.51
10:51:48 PM     all      2.31      0.00      3.08      0.00      0.00     94.60
10:51:49 PM     all     18.07      0.00      7.63      0.00      0.00     74.30
10:51:50 PM     all     20.92      0.00      7.14      0.00      0.00     71.94
10:51:51 PM     all      5.58      0.00      5.33      1.52      0.00     87.56
10:51:52 PM     all      7.20      0.00      3.60      0.26      0.00     88.95
10:51:53 PM     all     19.90      0.00      8.42      0.00      0.00     71.68
10:51:54 PM     all     18.59      0.00      7.29      0.00      0.00     74.12
10:51:55 PM     all      2.05      0.00      3.59      0.00      0.00     94.36
10:51:56 PM     all     12.37      0.00      7.83      0.00      0.00     79.80
10:51:57 PM     all     30.42      0.00      8.48      0.00      0.00     61.10
10:51:58 PM     all      3.03      0.00      4.04      0.00      0.00     92.93
10:51:59 PM     all     10.08      0.00      5.54      0.00      0.00     84.38
10:52:00 PM     all     21.37      0.00      7.63      0.00      0.00     70.99
10:52:01 PM     all     13.50      0.00      6.25      0.00      0.00     80.25
10:52:02 PM     all      7.65      0.00      4.85      0.00      0.00     87.50
10:52:03 PM     all     15.27      0.00      6.62      0.00      0.00     78.12
10:52:04 PM     all     26.79      0.00      6.63      0.00      0.00     66.58
10:52:05 PM     all      3.04      0.00      4.30      0.00      0.00     92.66
10:52:06 PM     all      7.22      0.00      6.19      2.84      0.00     83.76
10:52:07 PM     all     29.34      0.00     11.48      1.02      0.00     58.16
10:52:08 PM     all      6.85      0.00      4.31      0.00      0.00     88.83
10:52:09 PM     all     10.74      0.00      4.86      0.00      0.00     84.40
10:52:10 PM     all     15.13      0.00      7.69      0.00      0.00     77.18
10:52:11 PM     all     19.18      0.00      6.14      0.26      0.00     74.42
10:52:12 PM     all      7.83      0.00      5.05      1.52      0.00     85.61
10:52:13 PM     all      9.74      0.00      6.41      0.00      0.00     83.85
10:52:14 PM     all     32.58      0.00      9.85      0.00      0.00     57.58
10:52:15 PM     all      3.53      0.00      4.28      0.00      0.00     92.19
10:52:16 PM     all      6.80      0.00      4.53      0.00      0.00     88.66
10:52:17 PM     all     27.75      0.00      9.50      0.00      0.00     62.75
10:52:18 PM     all     13.03      0.00      5.51      0.00      0.00     81.45
10:52:19 PM     all     10.61      0.00      5.30      0.00      0.00     84.09
10:52:20 PM     all     10.55      0.00      6.78      0.00      0.00     82.66
10:52:21 PM     all     26.13      0.00      7.79      0.00      0.00     66.08
10:52:22 PM     all      7.95      0.00      4.62      0.00      0.00     87.44
10:52:23 PM     all      2.81      0.00      3.57      0.00      0.00     93.62
10:52:24 PM     all     29.74      0.00     11.54      0.00      0.00     58.72
10:52:25 PM     all     12.24      0.00      5.10      0.00      0.00     82.65
10:52:26 PM     all      5.12      0.00      4.35      0.00      0.00     90.54
10:52:27 PM     all     15.31      0.00      6.89      0.26      0.00     77.55
10:52:28 PM     all     20.72      0.00      6.39      0.00      0.00     72.89
10:52:29 PM     all     10.69      0.00      4.83      0.00      0.00     84.48
10:52:30 PM     all      4.59      0.00      4.85      0.00      0.00     90.56
10:52:31 PM     all     25.58      0.00      8.44      0.00      0.00     65.98
10:52:32 PM     all     13.49      0.00      5.09      0.00      0.00     81.42
10:52:33 PM     all      3.57      0.00      3.32      0.00      0.00     93.11
10:52:34 PM     all     26.70      0.00      9.07      0.00      0.00     64.23
