pi5_total_cpu_mapping

                                                                                        
Linux 6.8.0-1048-raspi (pi-desktop)     05/18/2026      _aarch64_       (4 CPU)

11:07:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:07:12 PM     all     30.69      0.00     10.74      0.00      0.00     58.57
11:07:13 PM     all     18.21      0.00      7.44      1.03      0.00     73.33
11:07:14 PM     all      5.66      0.00      4.88      0.00      0.00     89.46
11:07:15 PM     all     30.63      0.00     11.39      0.00      0.00     57.97
11:07:16 PM     all     23.87      0.00      8.54      0.00      0.00     67.59
11:07:17 PM     all     10.86      0.00      6.57      0.00      0.00     82.58
11:07:18 PM     all     10.05      0.00      7.04      0.25      0.00     82.66
11:07:19 PM     all     25.00      0.00     11.36      0.00      0.00     63.64
11:07:20 PM     all     25.38      0.00      8.63      0.00      0.00     65.99
11:07:21 PM     all      4.87      0.00      5.38      0.00      0.00     89.74
11:07:22 PM     all     19.26      0.00     12.10      0.00      0.00     68.64
11:07:23 PM     all     31.82      0.00     12.37      0.25      0.00     55.56
11:07:24 PM     all      4.70      0.00      5.22      0.00      0.00     90.08
11:07:25 PM     all     12.44      0.00      7.25      0.00      0.00     80.31
11:07:26 PM     all     23.65      0.00     11.57      0.00      0.00     64.78
11:07:27 PM     all     19.54      0.00      7.20      0.00      0.00     73.26
11:07:28 PM     all      8.79      0.00      6.98      4.91      0.00     79.33
11:07:29 PM     all     15.09      0.00      8.70      0.00      0.00     76.21
11:07:30 PM     all     39.43      0.00     11.60      0.00      0.00     48.97
11:07:31 PM     all      6.28      0.00      5.24      0.00      0.00     88.48
11:07:32 PM     all     11.86      0.00      6.96      0.00      0.00     81.19
11:07:33 PM     all     32.73      0.00     10.57      0.00      0.00     56.70
11:07:34 PM     all     18.16      0.00      6.65      1.79      0.00     73.40
11:07:35 PM     all     16.03      0.00      7.63      0.00      0.00     76.34
11:07:36 PM     all     16.92      0.00      8.08      0.00      0.00     75.00
11:07:37 PM     all     31.16      0.00     10.55      0.00      0.00     58.29
11:07:38 PM     all     11.76      0.00      5.88      0.00      0.00     82.35
11:07:39 PM     all      5.85      0.00      5.60      0.25      0.00     88.30
11:07:40 PM     all     36.96      0.00     13.67      0.00      0.00     49.37
11:07:41 PM     all     16.01      0.00     10.59      0.00      0.00     73.40
11:07:42 PM     all      9.50      0.00      9.75      0.00      0.00     80.75
11:07:43 PM     all     17.83      0.00      9.56      0.00      0.00     72.61
11:07:44 PM     all     24.61      0.00      8.81      4.15      0.00     62.44
11:07:45 PM     all     13.11      0.00      8.23      0.26      0.00     78.41
11:07:46 PM     all      4.90      0.00      5.93      0.00      0.00     89.18
11:07:47 PM     all     30.31      0.00     12.18      0.00      0.00     57.51
11:07:48 PM     all     25.00      0.00      9.02      0.00      0.00     65.98
11:07:49 PM     all      4.85      0.00      5.87      0.00      0.00     89.29
11:07:50 PM     all     25.45      0.00      9.77      3.34      0.00     61.44
11:07:51 PM     all     28.83      0.00      8.42      0.00      0.00     62.76
11:07:52 PM     all      5.63      0.00      6.65      0.00      0.00     87.72
11:07:53 PM     all     15.44      0.00      6.08      0.00      0.00     78.48
11:07:54 PM     all     25.89      0.00     10.15      0.00      0.00     63.96
11:07:55 PM     all     20.71      0.00      7.58      0.00      0.00     71.72
11:07:56 PM     all     10.83      0.00      6.30      0.00      0.00     82.87
11:07:57 PM     all     14.47      0.00      8.38      0.00      0.00     77.16
11:07:58 PM     all     39.29      0.00     11.34      0.00      0.00     49.37
11:07:59 PM     all      6.58      0.00      5.82      0.00      0.00     87.59
11:08:00 PM     all     12.19      0.00      9.45      2.49      0.00     75.87
11:08:01 PM     all     29.78      0.00     15.98      0.00      0.00     54.24
11:08:02 PM     all     16.54      0.00      8.79      0.00      0.00     74.68
11:08:03 PM     all     13.84      0.00      7.31      0.00      0.00     78.85
11:08:04 PM     all     13.77      0.00      9.35      0.00      0.00     76.88
11:08:05 PM     all     31.44      0.00     10.05      0.26      0.00     58.25
11:08:06 PM     all     10.23      0.00      6.65      0.00      0.00     83.12
11:08:07 PM     all      4.12      0.00      5.93      0.00      0.00     89.95
11:08:08 PM     all     37.79      0.00     12.85      0.00      0.00     49.36
11:08:09 PM     all     17.22      0.00      7.46      0.00      0.00     75.32
11:08:10 PM     all     10.10      0.00      6.22      0.00      0.00     83.68
11:08:11 PM     all     21.85      0.00      8.74      0.00      0.00     69.41
11:08:12 PM     all     27.76      0.00      8.74      0.00      0.00     63.50
