pi5_total_cpu

Linux 6.8.0-1048-raspi (pi-desktop)     05/18/2026      _aarch64_       (4 CPU)

10:24:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:24:48 PM     all     13.07     25.88      6.78      1.51      0.00     52.76
10:24:49 PM     all     36.64     23.66      7.89      0.00      0.00     31.81
10:24:50 PM     all      1.78     24.62      1.52      0.00      0.00     72.08
10:24:51 PM     all      8.86     23.80      3.54      0.00      0.00     63.80
10:24:52 PM     all     23.68     23.68      7.81      0.00      0.00     44.84
10:24:53 PM     all     14.68     24.56      3.54      0.00      0.00     57.22
10:24:54 PM     all     11.93     23.86      4.06      0.00      0.00     60.15
10:24:55 PM     all      8.52     23.81      5.01      0.00      0.00     62.66
10:24:56 PM     all     30.40     24.37      7.79      0.00      0.00     37.44
10:24:57 PM     all     15.29     23.31      4.51      0.00      0.00     56.89
10:24:58 PM     all      2.27     23.68      2.52      0.00      0.00     71.54
10:24:59 PM     all     24.63     23.88      8.21      0.00      0.00     43.28
10:25:00 PM     all     24.50     23.75      6.50      0.00      0.00     45.25
10:25:01 PM     all      3.01     23.81      2.76      0.00      0.00     70.43
10:25:02 PM     all     12.38     23.51      4.21      0.00      0.00     59.90
10:25:03 PM     all     18.55     23.56      7.77      0.00      0.00     50.13
10:25:04 PM     all     24.43     24.69      5.04      0.25      0.00     45.59
10:25:05 PM     all      4.26     23.56      3.26      0.00      0.00     68.92
10:25:06 PM     all      8.31     23.93      4.53      0.00      0.00     63.22
10:25:07 PM     all     37.37     24.24      8.59      1.52      0.00     28.28
10:25:08 PM     all      8.31     23.93      3.53      0.00      0.00     64.23
10:25:09 PM     all      3.01     23.56      3.01      0.00      0.00     70.43
10:25:10 PM     all     23.04     24.30      7.09      0.00      0.00     45.57
10:25:11 PM     all     18.84     23.62      6.53      0.00      0.00     51.01
10:25:12 PM     all     11.75     24.00      3.25      0.00      0.00     61.00
10:25:13 PM     all      2.51     23.87      2.76      0.00      0.00     70.85
10:25:14 PM     all     24.43     23.43      7.56      0.25      0.00     44.33
10:25:15 PM     all     24.75     24.24      4.29      0.00      0.00     46.72
10:25:16 PM     all      2.24     23.44      2.24      0.00      0.00     72.07
10:25:17 PM     all     13.85     24.18      5.29      0.00      0.00     56.68
10:25:18 PM     all     30.50     23.50      8.25      1.75      0.00     36.00
10:25:19 PM     all     10.03     23.56      3.76      0.00      0.00     62.66
10:25:20 PM     all     11.91     24.07      3.97      0.50      0.00     59.55
10:25:21 PM     all     13.57     23.62      6.28      0.00      0.00     56.53
10:25:22 PM     all     25.12     23.88      6.47      0.00      0.00     44.53
10:25:23 PM     all      9.34     23.99      3.03      0.00      0.00     63.64
10:25:24 PM     all      3.22     23.27      3.96      0.00      0.00     69.55
10:25:25 PM     all     34.26     24.62      8.38      0.00      0.00     32.74
10:25:26 PM     all     13.35     23.68      4.28      0.00      0.00     58.69
10:25:27 PM     all      3.00     23.25      3.50      0.00      0.00     70.25
10:25:28 PM     all     15.52     24.43      5.34      2.80      0.00     51.91
10:25:29 PM     all     23.87     23.62      7.29      0.00      0.00     45.23
10:25:30 PM     all     14.39     23.99      4.04      0.00      0.00     57.58
10:25:31 PM     all      2.01     24.37      2.01      0.00      0.00     71.61
10:25:32 PM     all     19.95     23.99      7.07      0.00      0.00     48.99
10:25:33 PM     all     28.79     23.99      6.06      0.00      0.00     41.16
10:25:34 PM     all      1.52     23.74      2.27      0.76      0.00     71.72
10:25:35 PM     all      9.80     23.37      4.27      0.00      0.00     62.56
10:25:36 PM     all     26.75     24.50      7.25      0.00      0.00     41.50
10:25:37 PM     all     11.97     23.69      3.24      0.00      0.00     61.10
10:25:38 PM     all     11.28     23.56      4.51      0.00      0.00     60.65
10:25:39 PM     all     13.28     24.06      5.51      0.00      0.00     57.14
10:25:40 PM     all     31.08     23.31      7.77      0.00      0.00     37.84
10:25:41 PM     all      6.95     24.07      2.98      0.00      0.00     66.00
10:25:42 PM     all      3.25     23.50      2.50      0.00      0.00     70.75
