pi5_total_cpu_v1
                                                               
Linux 6.8.0-1048-raspi (pi-desktop)     05/18/2026      _aarch64_       (4 CPU)

10:44:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:44:01 PM     all      4.57      0.00      5.08      0.00      0.00     90.36
10:44:02 PM     all     15.40      0.00      6.82      0.00      0.00     77.78
10:44:03 PM     all     22.47      0.00      8.33      0.00      0.00     69.19
10:44:04 PM     all      9.32      0.00      6.55      0.00      0.00     84.13
10:44:05 PM     all      4.08      0.00      4.34      0.00      0.00     91.58
10:44:06 PM     all     25.51      0.00      8.33      0.00      0.00     66.16
10:44:07 PM     all     14.25      0.00      5.60      0.00      0.00     80.15
10:44:08 PM     all      1.79      0.00      4.85      0.00      0.00     93.37
10:44:09 PM     all     23.16      0.00      9.67      0.00      0.00     67.18
10:44:10 PM     all     18.72      0.00      5.90      0.00      0.00     75.38
10:44:11 PM     all      3.59      0.00      4.36      0.00      0.00     92.05
10:44:12 PM     all      9.90      0.00      5.58      0.00      0.00     84.52
10:44:13 PM     all     22.59      0.00      8.12      0.00      0.00     69.29
10:44:14 PM     all     13.88      0.00      5.14      3.34      0.00     77.63
10:44:15 PM     all      2.06      0.00      3.34      1.54      0.00     93.06
10:44:16 PM     all     16.07      0.00      7.65      0.00      0.00     76.28
10:44:17 PM     all     27.64      0.00      7.79      0.00      0.00     64.57
10:44:18 PM     all      5.63      0.00      4.35      0.26      0.00     89.77
10:44:19 PM     all     14.61      0.00      7.56      0.00      0.00     77.83
10:44:20 PM     all     23.87      0.00      8.04      2.76      0.00     65.33
10:44:21 PM     all      4.52      0.00      5.03      0.00      0.00     90.45
10:44:22 PM     all      9.32      0.00      6.05      0.00      0.00     84.63
10:44:23 PM     all     18.99      0.00      8.61      0.00      0.00     72.41
10:44:24 PM     all     19.90      0.00      7.81      0.00      0.00     72.29
10:44:25 PM     all      2.04      0.00      3.83      0.51      0.00     93.62
10:44:26 PM     all     10.13      0.00      7.09      0.00      0.00     82.78
10:44:27 PM     all     31.14      0.00      9.11      0.00      0.00     59.75
10:44:28 PM     all      2.30      0.00      4.34      0.00      0.00     93.37
10:44:29 PM     all     10.43      0.00      5.09      0.00      0.00     84.48
10:44:30 PM     all     18.51      0.00      8.48      0.26      0.00     72.75
10:44:31 PM     all     13.49      0.00      5.60      2.80      0.00     78.12
10:44:32 PM     all      8.97      0.00      4.62      0.00      0.00     86.41
10:44:33 PM     all      8.97      0.00      6.41      0.00      0.00     84.62
10:44:34 PM     all     32.91      0.00      9.18      0.00      0.00     57.91
10:44:35 PM     all      3.06      0.00      3.57      0.51      0.00     92.86
10:44:36 PM     all      5.08      0.00      4.57      0.51      0.00     89.85
10:44:37 PM     all     27.14      0.00      9.30      0.00      0.00     63.57
10:44:38 PM     all     13.47      0.00      5.74      0.00      0.00     80.80
10:44:39 PM     all     11.59      0.00      5.29      0.00      0.00     83.12
10:44:40 PM     all      9.85      0.00      6.57      0.00      0.00     83.59
10:44:41 PM     all     25.76      0.00      9.60      0.00      0.00     64.65
10:44:42 PM     all      9.82      0.00      4.79      0.00      0.00     85.39
10:44:43 PM     all      3.04      0.00      5.06      0.00      0.00     91.90
10:44:44 PM     all     29.23      0.00      9.23      0.00      0.00     61.54
10:44:45 PM     all     14.03      0.00      5.10      0.00      0.00     80.87
10:44:46 PM     all      4.09      0.00      4.86      0.26      0.00     90.79
10:44:47 PM     all     14.87      0.00      7.18      2.31      0.00     75.64
10:44:48 PM     all     21.65      0.00      7.47      0.00      0.00     70.88
10:44:49 PM     all     10.05      0.00      4.38      0.00      0.00     85.57
10:44:50 PM     all      3.60      0.00      4.37      0.00      0.00     92.03
10:44:51 PM     all     25.26      0.00      8.93      0.00      0.00     65.82
10:44:52 PM     all     15.38      0.00      5.64      1.28      0.00     77.69
10:44:53 PM     all      2.84      0.00      3.35      0.00      0.00     93.81
10:44:54 PM     all     23.66      0.00      8.65      0.00      0.00     67.68
10:44:55 PM     all     18.94      0.00      6.31      0.00      0.00     74.75
10:44:56 PM     all      4.79      0.00      5.04      0.76      0.00     89.42
10:44:57 PM     all     10.35      0.00      6.06      0.00      0.00     83.59
10:44:58 PM     all     24.94      0.00      9.48      0.00      0.00     65.59
10:44:59 PM     all     14.86      0.00      6.05      0.00      0.00     79.09
10:45:00 PM     all      3.74      0.00      4.74      0.00      0.00     91.52
10:45:01 PM     all     21.32      0.00      9.90      0.25      0.00     68.53
10:45:02 PM     all     22.03      0.00      6.58      0.51      0.00     70.89
10:45:03 PM     all      2.55      0.00      4.34      2.55      0.00     90.56
10:45:04 PM     all     17.39      0.00      7.67      0.00      0.00     74.94
10:45:05 PM     all     23.14      0.00      7.71      0.00      0.00     69.15
10:45:06 PM     all      4.08      0.00      4.34      0.00      0.00     91.58
10:45:07 PM     all      8.95      0.00      5.12      0.00      0.00     85.93
10:45:08 PM     all     18.93      0.00      7.93      1.02      0.00     72.12
10:45:09 PM     all     20.97      0.00      6.14      0.00      0.00     72.89
10:45:10 PM     all      2.05      0.00      4.60      0.00      0.00     93.35
10:45:11 PM     all     10.57      0.00      6.19      0.00      0.00     83.25
10:45:12 PM     all     31.70      0.00      7.99      0.00      0.00     60.31
10:45:13 PM     all      3.83      0.00      4.08      0.00      0.00     92.09
