pi5_total_cpu_v3

                                                                                                                                                                                                                          
Linux 6.8.0-1048-raspi (pi-desktop)     05/18/2026      _aarch64_       (4 CPU)

10:59:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:59:39 PM     all     16.84      0.00      7.14      0.00      0.00     76.02
10:59:40 PM     all     10.58      0.00      6.05      0.00      0.00     83.38
10:59:41 PM     all      4.33      0.00      5.60      0.00      0.00     90.08
10:59:42 PM     all     31.89      0.00     10.20      0.26      0.00     57.65
10:59:43 PM     all      8.16      0.00      5.36      0.00      0.00     86.48
10:59:44 PM     all      2.79      0.00      4.31      0.00      0.00     92.89
10:59:45 PM     all     21.59      0.00     10.03      2.06      0.00     66.32
10:59:46 PM     all     17.81      0.00      6.62      0.25      0.00     75.32
10:59:47 PM     all     10.00      0.00      5.64      0.00      0.00     84.36
10:59:48 PM     all      3.86      0.00      4.37      0.51      0.00     91.26
10:59:49 PM     all     22.76      0.00      8.44      0.00      0.00     68.80
10:59:50 PM     all     13.11      0.00      5.66      0.00      0.00     81.23
10:59:51 PM     all      2.04      0.00      5.60      0.00      0.00     92.37
10:59:52 PM     all     28.03      0.00     11.11      0.00      0.00     60.86
10:59:53 PM     all     14.83      0.00      6.14      0.00      0.00     79.03
10:59:54 PM     all      2.28      0.00      5.08      0.00      0.00     92.64
10:59:55 PM     all     19.49      0.00      8.86      0.00      0.00     71.65
10:59:56 PM     all     19.59      0.00      7.38      3.82      0.00     69.21
10:59:57 PM     all     10.30      0.00      6.53      0.00      0.00     83.17
10:59:58 PM     all      4.80      0.00      6.31      0.25      0.00     88.64
10:59:59 PM     all     23.81      0.00      9.27      0.00      0.00     66.92
11:00:00 PM     all     16.16      0.00      6.82      0.00      0.00     77.02
11:00:01 PM     all      2.31      0.00      5.14      0.00      0.00     92.54
11:00:02 PM     all     22.05      0.00      9.74      0.00      0.00     68.21
11:00:03 PM     all     20.66      0.00      7.14      0.00      0.00     72.19
11:00:04 PM     all      2.30      0.00      4.86      0.00      0.00     92.84
11:00:05 PM     all     11.86      0.00      6.44      0.00      0.00     81.70
11:00:06 PM     all     23.59      0.00      8.97      0.00      0.00     67.44
